base,date,USD,EUR,GBP,JPY,CNY
USD,2020-01-22,1,0.9018759019,0.7615891053,109.9657287157,6.9020562771
USD,2020-01-23,1,0.9016319538,0.7618609684,109.5482823911,6.9332792354
USD,2020-01-24,1,0.9062075215,0.7640507476,109.6148618034,6.9333031264
USD,2020-01-27,1,0.9070294785,0.7651519274,108.9433106576,6.9366893424
USD,2020-01-28,1,0.9086778737,0.7687687415,109.0595184007,6.9366651522
USD,2020-01-29,1,0.909008272,0.7688391964,109.1355331334,6.9366421234
USD,2020-01-30,1,0.9067005168,0.7632876961,108.8312630338,6.9366216339
USD,2020-01-31,1,0.9048136084,0.7616268549,108.8943177705,6.9366630474
USD,2020-02-03,1,0.9036688957,0.7660853063,108.5306343756,7.0197903488
USD,2020-02-04,1,0.905141202,0.7682838523,109.0876176684,6.9965604634
USD,2020-02-05,1,0.9071940488,0.7660709426,109.7160482627,6.9725120203
USD,2020-02-06,1,0.9088430428,0.7710169954,109.851858584,6.968644915
USD,2020-02-07,1,0.9116601331,0.7723584648,109.86416264019999,6.993436047
USD,2020-02-10,1,0.9131586157,0.7727878733,109.743402429,6.9830152497
USD,2020-02-11,1,0.9173470324,0.7735528851,109.8339601871,6.9741308137
USD,2020-02-12,1,0.9162543522,0.7701850834,109.9780098955,6.9702217336
USD,2020-02-13,1,0.9202171713,0.7672310665,109.699088985,6.9835281126
USD,2020-02-14,1,0.9223390518,0.7674598783,109.8598044641,6.987363955
USD,2020-02-17,1,0.9229349331,0.7682325796,109.875403784,6.9815413013
USD,2020-02-18,1,0.924556213,0.7672429734,109.7448224852,7.0018491124
USD,2020-02-19,1,0.9259259259,0.7698888889,110.5092592593,6.9942592593
USD,2020-02-20,1,0.9267840593,0.7770157553,112.0111214087,7.0238183503
USD,2020-02-21,1,0.9258402,0.773169151,111.9896305898,7.0312933988
USD,2020-02-24,1,0.9243852838,0.774939915,111.4069144019,7.0347568867
USD,2020-02-25,1,0.9225092251,0.7714944649,110.6273062731,7.0152214022
USD,2020-02-26,1,0.9195402299,0.7737931034,110.4643678161,7.0187586207
USD,2020-02-27,1,0.9120758847,0.7752188982,109.8686610726,7.0059284933
USD,2020-02-28,1,0.9109957183,0.7772159971,108.7364489387,6.9838753758
USD,2020-03-02,1,0.8991188635,0.7832494156,107.7324222262,6.9653839238
USD,2020-03-03,1,0.8995232527,0.7826751822,107.735899973,6.9777817757
USD,2020-03-04,1,0.8988764045,0.7806741573,107.4876404494,6.9226067416
USD,2020-03-05,1,0.8938946992,0.7747385358,106.9366228658,6.934745687
USD,2020-03-06,1,0.8821453776,0.7689220183,105.0458715596,6.9258115737
USD,2020-03-09,1,0.8729050279,0.7627706006,102.2346368715,6.9483240223
USD,2020-03-10,1,0.8779631255,0.7672080773,104.1703248464,6.9569798068
USD,2020-03-11,1,0.8821453776,0.7735532816,104.5783345095,6.9513937897
USD,2020-03-12,1,0.8896797153,0.7884608541,103.9501779359,7.0175266904
USD,2020-03-13,1,0.9005763689,0.8021433718,107.2676512968,6.9873018732
USD,2020-03-16,1,0.8962982881,0.8148964775,105.5480864032,7.0225867169
USD,2020-03-17,1,0.9105809506,0.8270169368,106.993261701,7.020123839
USD,2020-03-18,1,0.9145783794,0.8431498079,107.7190415219,7.0353941833
USD,2020-03-19,1,0.9258402,0.86089251,109.8324229238,7.1149893528
USD,2020-03-20,1,0.9339684319,0.8501727842,110.5538432801,7.0905949379
USD,2020-03-23,1,0.9273856997,0.862190485,110.4609106928,7.0838356673
USD,2020-03-24,1,0.9222539887,0.8493959236,110.6612561099,7.0597620585
USD,2020-03-25,1,0.9236168837,0.8451371571,111.4528493581,7.0974415812
USD,2020-03-26,1,0.910663874,0.8318732356,109.443584373,7.073581641
USD,2020-03-27,1,0.9109957183,0.8175548875,108.7364489387,7.0961100483
USD,2020-03-30,1,0.9062896502,0.805691499,108.1566068515,7.0996012326
USD,2020-03-31,1,0.9127418766,0.8090817817,108.5250091274,7.0996714129
USD,2020-04-01,1,0.9144111192,0.8088880761,107.4890270666,7.1006766642
USD,2020-04-02,1,0.9169264625,0.8044929397,107.3354117,7.0958188153
USD,2020-04-03,1,0.9272137228,0.8145572554,108.5767269356,7.0909596662
USD,2020-04-06,1,0.9266981744,0.8136409971,108.9241034195,7.0910017607
USD,2020-04-07,1,0.9186954525,0.8093063849,108.9113458888,7.055764814
USD,2020-04-08,1,0.919878576,0.80901481,108.8768282587,7.0663232452999996
USD,2020-04-09,1,0.9202171713,0.805788166,108.8892978743,7.058893899
USD,2020-04-14,1,0.9121590805,0.7958861625,107.3246374168,7.0570099425
USD,2020-04-15,1,0.9171787581,0.8014766578,107.4199761534,7.0620930019
USD,2020-04-16,1,0.9184423218,0.800541881,107.5679647318,7.0711792799
USD,2020-04-17,1,0.9208103131,0.8009023941,107.605893186,7.0737569061
USD,2020-04-20,1,0.9208103131,0.8042633517,107.8360957643,7.073572744
